category,question,option_a,option_b,option_c,correct,explanation
健康題,依據食品安全衛生管理法規定，哪一項食品標示不屬於強制標示範圍內?,品名,原產地(國),業者Line ID,C,食品強制標示項目包括：品名、內容物、食品添加物、有效日期、原產地、營養標示、廠商資訊等。業者Line ID屬私人聯絡方式，非法規強制標示項目。
健康題,下列哪一項食品最可能不含防腐劑？,醬油,罐頭,豆干,B,罐頭透過高溫高壓滅菌及真空密封保存，不需添加防腐劑。醬油、豆干等食品常添加防腐劑（如己二烯酸、苯甲酸）延長保存期限。
健康題,接觸過生雞蛋後要洗手，是為了避免下列何種細菌引起的食物中毒？,肉毒桿菌,仙人掌桿菌,沙門氏菌,C,生雞蛋殼表面常附著沙門氏菌，接觸後未洗手可能造成食物中毒，症狀為腹瀉、發燒、腹痛。肉毒桿菌存於罐頭，仙人掌桿菌存於米飯。
健康題,下列哪一個罐頭符合食品安全原則？,外觀凹陷,真空安全鈕浮起,外觀平滑,C,安全罐頭應外觀平滑完整，真空安全鈕下凹。外觀凹陷或安全鈕浮起表示密封不良、真空失效，可能滋生細菌（如肉毒桿菌），不可食用。
健康題,依據食品衛生管理法施行細則，下列哪一項食品添加物不必同時標示其功能性名稱?,著色劑,甜味劑,防腐劑,A,依法規，防腐劑、甜味劑、抗氧化劑需標示功能性名稱（如「防腐劑：己二烯酸」），以提醒消費者。著色劑僅需標示添加物名稱，無需標示「著色劑」字樣。
健康題,我們常喝的優酪乳是利用下面哪一種加工方式製成的？,高溫法,低溫法,發酵法,C,優酪乳由牛奶加入乳酸菌或比菲德氏菌，經發酵產生乳酸製成。發酵過程可分解乳糖，幫助乳糖不耐症者消化，並產生益生菌調節腸道。
健康題,26公克的糖換算為幾大卡?,26大卡,104大卡,130大卡,B,糖屬醣類，每公克提供4大卡熱量。26公克糖 × 4大卡/公克 = 104大卡。蛋白質每公克也是4大卡，脂肪每公克9大卡。
健康題,一般食品的營養標示中，不需要標示下列哪一個項目?,鈉,蛋白質,維生素,C,食品營養標示強制項目包括：熱量、蛋白質、脂肪、飽和脂肪、反式脂肪、碳水化合物、糖、鈉。維生素、礦物質非強制標示，業者可自願標示。
健康題,當誤食藥品或服藥過量，務必要保持冷靜並且要如何處理？,立即催吐,帶著藥品迅速就醫,趕快吃瀉藥,B,誤食藥品應帶著藥品包裝或藥袋立即就醫，讓醫師判斷處理方式。不可自行催吐（腐蝕性物質催吐會二度傷害食道）或吃瀉藥，以免加重傷害。
健康題,從診所看病完帶回來的藥物，如果忘記怎麼服用，該如何處理？,詢問家中長輩,查詢網路資料,詢問原診所的醫師或藥師,C,忘記服藥方式應詢問開立處方的醫師或調劑藥師，因為他們了解患者病情及用藥資訊。家中長輩或網路資訊可能不正確，影響療效或造成危險。
健康題,下列何項不屬於病歷？,護理紀錄,X光檢查報告,門診預約單,C,病歷包括：醫師診斷紀錄、護理紀錄、檢驗檢查報告（X光、抽血等）、手術紀錄、用藥紀錄等。門診預約單僅為行政排程文件，非病歷內容。
健康題,下列何者屬於侵入性醫療行為？,針灸,熱敷,推拿,A,侵入性醫療指穿刺皮膚或進入體腔的行為，如針灸、注射、手術、內視鏡等。熱敷、推拿屬非侵入性物理治療。侵入性醫療需由合格醫事人員執行。
